ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
301-0553,Carrickfergus Model Primary School ,Controlled,384.0,BT388BU,54.712131,-5.817412,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,195.95917942265424,222,8,154
301-0754,Doagh Primary School ,Controlled,130.0,BT390QL,54.738077,-6.042388,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,114.0175425099138,79,0-4,47-51
301-0794,Gracehill Primary School ,Controlled,437.0,BT422NL,54.85338,-6.327438,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,209.04544960366877,286,0-4,147-151
301-0796,Eden Primary School ,Controlled,86.0,BT537PB,55.03145,-6.56373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,92.73618495495704,55,0-4,27-31
301-0875,Ballymena Primary School ,Controlled,259.0,BT435BX,54.872475,-6.283945,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160.93476939431082,86,16,157
301-2267,Magherafelt Primary School,Controlled,217.0,BT456PA,54.75997,-6.599445,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,147.3091986265623,133,18,66
301-3315,Ballykeel Primary School ,Controlled,427.0,BT424DN,54.858722,-6.258817,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,206.63978319771823,295,0-4,128-132
301-3331,Ballycraigy Primary School ,Controlled,133.0,BT411PU,54.707264,-6.188233,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,115.32562594670796,26,0,107
301-6037,Greystone Primary School ,Controlled,167.0,BT411JW,54.713521,-6.188451,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,129.22847983320085,67,0-4,96-100
301-6125,Rasharkin Primary School ,Controlled,70.0,BT448RX,54.954926,-6.479279,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,83.66600265340756,55,0-4,11-15
301-6414,Fairview Primary School ,Controlled,485.0,BT399HS,54.755107,-6.00624,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,220.2271554554524,252,12,221
301-6594,Bushvalley Primary School ,Controlled,173.0,BT538PR,55.117606,-6.414263,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,131.52946437965906,127,0-4,42-46
305-0859,Crumlin Integrated Primary School,Controlled Integrated,162.0,BT294XL,54.621432,-6.21461,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,127.27922061357856,36,22,104
401-0512,McKinney Primary School  Dundrod,Controlled,166.0,BT294HX,54.61365,-6.121373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,100,0-4,62-66
401-1646,Victoria Primary School ,Controlled,457.0,BT237DD,54.594511,-5.688976,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,213.7755832643195,267,13,177
401-1674,Knockbreda Primary School ,Controlled,129.0,BT60JJ,54.567645,-5.903512,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,113.57816691600549,74,13,42
401-3043,Leadhill Primary School,Controlled,159.0,BT69RD,54.57455,-5.873431,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,126.09520212918493,68,10,81
401-6067,Rathmore Primary School ,Controlled,583.0,BT191DJ,54.65743,-5.70329,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,241.45392935299276,302,17,264
401-6192,Kilmaine Primary School ,Controlled,662.0,BT196EF,54.654145,-5.631661,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,257.29360660537213,208,15,439
401-6396,Killinchy Primary School ,Controlled,331.0,BT236PN,54.471712,-5.675311,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.9340539866025,208,9,114
401-6401,Pond Park Primary School ,Controlled,625.0,BT283BF,54.525469,-6.067453,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,250.0,333,70,222
401-6430,Ballymagee Primary School ,Controlled,417.0,BT196ZG,54.64445,-5.637199,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,204.20577856662135,202,27,188
401-6636,Meadow Bridge Primary School ,Controlled,296.0,BT266JR,54.473119,-6.146935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,172.04650534085255,201,10,85
401-6650,Cumran Primary School ,Controlled,209.0,BT308RB,54.290849,-5.8387,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,144.5683229480096,138,20,51
501-1116,Tandragee Primary School ,Controlled,376.0,BT622BB,54.356521,-6.414822,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,193.9071942966532,263,11,102
501-1124,King's Park Primary School Lurgan,Controlled,695.0,BT667BB,54.458206,-6.321591,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,263.6285265292814,353,82,260
501-2632,Donaghmore Primary School ,Controlled,70.0,BT703EZ,54.531094,-6.812546,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,83.66600265340756,59,0,11
501-2643,Stewartstown Primary School ,Controlled,49.0,BT715HY,54.575386,-6.676813,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,70.0,39,0-4,6-10
501-2646,Howard Primary School ,Controlled,325.0,BT717QR,54.487834,-6.748219,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,180.27756377319943,210,31,84
501-2649,Coagh Primary School ,Controlled,115.0,BT800DW,54.64696,-6.619632,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,107.23805294763608,104,0,11
501-3702,Woods Primary School ,Controlled,190.0,BT456HX,54.720014,-6.546365,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.84048752090223,158,8,24
501-6221,Orritor Primary School ,Controlled,219.0,BT809NE,54.658738,-6.822043,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,147.9864858694874,179,0,40
501-6224,Donaghey Primary School ,Controlled,102.0,BT714DA,54.585548,-6.746043,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,100.99504938362077,78,0-4,20-24
501-6543,Moyallon Primary School ,Controlled,203.0,BT635JY,54.399498,-6.38865,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.47806848775008,145,0-4,54-58
501-6680,Killyman Primary School ,Controlled,188.0,BT716RL,54.489921,-6.700763,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,137.11309200802089,145,6,37
