ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display,estimated_non_christians,estimated_non_christian_pct,estimated_non_christian_string,radius_freq,estimated_total_visits,no_withdrawn,pct_other,url
101-0325,Ligoniel Primary School,Controlled,198.0,BT148BW,54.62425,-5.978984,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,195,62,127,140.71247279470288,116,7,75 (37.9%),Ballysillan Presbyterian Church: <1/month<br>Belfast City Mission: <1/month<br>Bible Educational Services: <1/month<br>Crown Jesus Ministries: <1/month<br>Scripture Union: <1/month<br>West Kirk Presbyterian Church: <1/month,58,0.2929292929292929,58 (29.3%),162.05294855976746,16.0,5 or fewer,37.9%,https://www.whatdotheyknow.com/r/004ed84a-3e2b-49a4-852b-c18291213d82
101-0806,Finaghy Primary School,Controlled,391.0,BT100DR,54.560269,-5.983898,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,217,89,105,197.7371993328519,190,34,167 (42.7%),"Bethany Church, Finaghy: termly<br>Living Hope: termly<br>Malone Presbyterian: twice per term<br>Other Christian Charities: twice",140,0.3580562659846547,139-142 (35.8%),200.55204484262276,14.0,35,42.7%,https://www.whatdotheyknow.com/r/6aa0e6cc-b03f-4db3-9d6b-8abe4deaf86d
101-0831,Cavehill Primary School,Controlled,400.0,BT155FG,54.635449,-5.947218,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,213,83,109,200.0,197,61,142 (35.5%),"Belfast City Mission: <1/month<br>Belfast Vineyard Church: <1/month<br>Joanmount Methodist Church, Belfast: <1/month<br>Rosemary Presbyterian, Belfast: <1/month<br>Scripture Union: <1/month",130,0.325,130 (32.5%),192.17079700603605,15.0,9,35.5%,https://www.whatdotheyknow.com/r/07648e9e-0cbd-4323-83e4-38fa926e8355
101-3018,Knocknagoney Primary School,Controlled,258.0,BT42NR,54.618774,-5.85352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,227,103,95,160.6237840420901,135,15,108 (41.9%),"Child Evangelism Fellowship: <1/month<br>Evangelical Presbyterian: <1/month<br>Garnerville Presbyterian Church: <1/month<br>High Street Presbyterian, Holywood: <1/month<br>Holywood Youth Centre: <1/month<br>Knocknagoney Church of Ireland: <1/month<br>Made for More: <1/month<br>Scripture Union: <1/month",92,0.3565891472868217,91-94 (35.7%),191.92974009569963,25.0,5 or fewer,41.9%,https://www.whatdotheyknow.com/r/7a396e00-cb65-475e-9353-3b30b7a11e6f
101-6059,Blackmountain Primary School,Controlled,188.0,BT133TT,54.600382,-5.978248,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,226,102,96,137.11309200802089,140,0,48 (25.5%),Ballygomartin Presbyterian Church: 1-3/month<br>Bible Educational Services: 1-3/month<br>Christian Fellowship Church (CFC): 1-3/month<br>Crown Jesus Ministries: 1-3/month<br>Shankill Mission Hall: 1-3/month,24,0.1276595744680851,24 (12.8%),202.5188188492573,53.0,5 or fewer,25.5%,https://www.whatdotheyknow.com/r/3eb022bd-b4a7-4242-aa99-1a212dc8a0ec
101-6060,Donegall Road Primary School,Controlled,210.0,BT126HE,54.589134,-5.95317,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,218,90,104,144.9137674618944,94-98,0-4,112 (53.3%),Bible Educational Services: twice<br>Child Evangelism Fellowship: twice<br>Crown Jesus Ministries: twice<br>Donegall Road Methodist Church: twice<br>Richview Presbyterian: twice<br>St Simon's Church of Ireland: twice,106,0.5047619047619047,106 (50.5%),180.83766107971843,14.0,8,53.3%,https://www.whatdotheyknow.com/r/41d945d4-4ef6-4fe9-893b-309068d94573
101-6076,Ballysillan Primary School,Controlled,236.0,BT148LT,54.630789,-5.969197,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,239,248,33,153.62291495737216,170,0-4,62-66 (27.1%),Bible Educational Services: once<br>Equipping for Life: weekly<br>Living Hope: weekly<br>Youth For Christ: twice a week,59,0.25,58-61 (25.0%),298.05969484426413,145.0,Zero,27.1%,https://www.whatdotheyknow.com/r/b80328e6-cacb-48da-8af4-58680fbbe885
101-6205,Fane Street Primary School,Controlled,324.0,BT97BW,54.585229,-5.951262,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,249,219,36,180.0,68,16,240 (74.1%),All Saints Church of Ireland: <1/month<br>Baptist Youth: <1/month<br>Child Evangelism Fellowship: <1/month<br>Evangelical Presbyterian: 1-3/month<br>Made for More: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month<br>Windsor Baptist Church: <1/month,192,0.5925925925925926,192 (59.3%),251.8414327055691,30.0,95,74.1%,https://www.whatdotheyknow.com/r/23ccba0f-02a9-42c4-845b-d52a7b719eb1
101-6207,Blythefield Primary School,Controlled,197.0,BT125HX,54.590606,-5.940935,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,150,18,160,140.356688476182,160,0-4,33-37 (17.8%),Explore Ministries: <1/month<br>Great Victoria St Presbyterian: <1/month<br>St Aidans C.O.I.: <1/month,24,0.1218274111675127,22-28 (12.2%),121.27455777014646,10.0,Zero,17.8%,https://www.whatdotheyknow.com/r/dc6fb41a-be1f-412e-b748-878d7d9b2c32
101-6242,Dundela Infants School,Controlled,278.0,BT43BL,54.599769,-5.876341,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,205,73,117,166.73332000533065,113,22,143 (51.4%),"Christian Fellowship Church (CFC): <1/month<br>Cre8 Theatre- Sunni Explores: Respecting Difference- Virtual Assembly: <1/month<br>Crown Jesus Ministries: <1/month<br>St Mark's Church, Belfast: <1/month",122,0.4388489208633093,122 (43.9%),184.40207252495023,8.0,5 or fewer,51.4%,https://www.whatdotheyknow.com/r/ac85f520-c366-40f1-9f6c-dac48e3fae92
101-6485,Glenwood Primary School,Controlled,523.0,BT133GW,54.605844,-5.956231,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,202,70,120,228.69193252058545,437,11,75 (14.3%),Belfast Central Mission: <1/month<br>Child Evangelism Fellowship: <1/month<br>John Knox Free Presbyterian: <1/month<br>Living Hope: <1/month<br>Shankill Community Fellowship: <1/month<br>Shankill Gospel Hall: <1/month<br>St Matthew's (Belfast): <1/month<br>Welcome Church (Belfast): <1/month<br>Woodvale Methodist: <1/month<br>Woodvale Presbyterian: <1/month,35,0.0669216061185468,35 (6.7%),186.0553733047476,31.0,Zero,14.3%,https://www.whatdotheyknow.com/r/0faaef57-b31e-4842-b5a1-cc3a1ecb230c
101-6498,Malvern Primary School,Controlled,157.0,BT131HW,54.606006,-5.944089,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,212,82,110,125.29964086141668,66-70,0-4,87 (55.4%),"Shankill Methodist Church, Belfast: 1-3/month<br>St Michael's C.O.I., Belfast: 1-3/month<br>Townsend St Presbyterian, Belfast: 1-3/month",64,0.4076433121019108,64 (40.8%),172.55224606137517,33.0,6,55.4%,https://www.whatdotheyknow.com/r/89058099-3945-4c61-9f85-1ccde3c3d7d4
101-6499,Botanic Primary School,Controlled,224.0,BT71QY,54.582133,-5.929312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,250,159,58,149.66629547095766,53,18,153 (68.3%),All Saints Church: <1/month<br>Fitzroy Presbyterian Church: weekly<br>Mary Magdalene: <1/month<br>South Belfast Methodist: <1/month,133,0.59375,133 (59.4%),213.89388244310905,43.0,46,68.3%,https://www.whatdotheyknow.com/r/a42fc226-9cfa-4afd-949e-d3cdcd3c1ce4
101-6532,Wheatfield Primary School,Controlled,171.0,BT147JE,54.61958,-5.963036,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,243,134,73,130.7669683062202,93,0-4,74-78 (44.4%),Ballysillan Presbyterian Church: 4 or 5 visits<br>Child Evangelism Fellowship: 4 or 5 visits<br>Church Army: 4 or 5 visits<br>Church of Ireland: 4 or 5 visits<br>Equipping for Life: 4 or 5 visits<br>Scripture Union: 4 or 5 visits<br>Shankill Methodist: 4 or 5 visits<br>Youth For Christ: 4 or 5 visits,65,0.3801169590643274,64-67 (38.0%),195.84329953302304,40.0,7,44.4%,https://www.whatdotheyknow.com/r/2fbacf03-d0ad-44bd-96cf-f2a047bbeaf0
101-6537,Lowwood Primary School,Controlled,237.0,BT154BL,54.634469,-5.924499,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,215,86,108,153.94804318340653,116,11,110 (46.4%),Belfast Metropolitan Tabernacle: <1/month<br>Crown Jesus Ministries: <1/month<br>Scripture Union: <1/month<br>Stand By Me: <1/month<br>Whitehouse Presbyterian Church: <1/month,92,0.3881856540084388,92 (38.8%),181.89844627278237,15.0,6,46.4%,https://www.whatdotheyknow.com/r/3c67e355-f439-4c5b-8c5f-0cf2d79a86fd
101-6604,Harmony Primary School,Controlled,284.0,BT133SY,54.615422,-5.982998,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,151,19,160,168.5229954635272,247,0-4,33-37 (12.3%),Child Evangelism Fellowship: <1/month<br>Presbyterian or Baptist: <1/month<br>Woodvale Methodist: <1/month,22,0.0774647887323943,20-26 (7.7%),124.76189212097395,9.0,Zero,12.3%,https://www.whatdotheyknow.com/r/089c3107-7ed9-49fc-99e5-1b8bbf0fb10a
101-6647,Bunscoil Mhic Reachtain,Controlled,68.0,BT151EZ,54.606314,-5.929988,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,120,120,120,82.46211251235322,0,64-68,Fewer than 5 (<8.0%),DID NOT RESPOND TO SURVEY,2,0.0294117647058823,Fewer than 5 (<8.0%),200.0,,,2.9%,https://www.whatdotheyknow.com/r/80f07e18-d529-4036-b787-7085dd39331d
101-6655,Victoria Park Primary School,Controlled,383.0,BT41LX,54.604443,-5.882118,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,198,65,124,195.7038579078093,229,16,138 (36.0%),Free Methodist: termly<br>Reformed Presbyterian: termly<br>Sydenham Methodist Church: termly,105,0.2741514360313316,104-107 (27.4%),181.3142425550219,9.0,5 or fewer,36.0%,https://www.whatdotheyknow.com/r/cefc67bf-64a9-4633-a4f7-8fb06103880a
103-0194,Holy Cross Boys' Primary School,Roman Catholic Maintained,401.0,BT147EX,54.613824,-5.95902,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,115,0,168,200.24984394500788,0,397-401,Fewer than 5 (<2.0%),"Holy Cross Church, Belfast: 1-3/month",2,0.0049875311720698,Fewer than 5 (<2.0%),89.27562736909665,11.0,Zero,0.5%,https://www.whatdotheyknow.com/r/836d21e6-1551-4ab7-9344-2c6cd40ae4ea
103-0313,"Our Lady of Lourdes PS, Belfast",Roman Catholic Maintained,618.0,BT155GQ,54.645265,-5.936343,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,129,4,167,248.59605789312104,0-4,583,31-35 (5.3%),"St Gerard's, Antrim Road, Belfast: <1/month",30,0.0485436893203883,24-36 (4.9%),103.93691004272944,2.0,5 or fewer,5.3%,https://www.whatdotheyknow.com/r/69512d32-7ff4-4919-b6c2-f9cda558eec8
103-0326,Our Lady's Girls' Primary School,Roman Catholic Maintained,215.0,BT146NN,54.622333,-5.954723,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,108,0,168,146.6287829861518,0,202,13 (6.0%),Parish Priest-Sacred Heart Parish Belfast: <1/month,10,0.0465116279069767,8-14 (4.7%),80.8592829940284,2.0,Zero,6.0%,https://www.whatdotheyknow.com/r/c61d30b8-ddfd-4b87-941b-87775be39833
103-0327,Holy Rosary Primary School,Roman Catholic Maintained,469.0,BT73DB,54.575726,-5.924069,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,208,77,115,216.5640782770772,25,221,223 (47.5%),No External Visitors,187,0.3987206823027718,187 (39.9%),209.1982142768169,0.0,268,47.5%,https://www.whatdotheyknow.com/r/ca448dbd-3474-496c-8a83-ede8868cd7dc
103-0331,Holy Cross Girls' Primary School,Roman Catholic Maintained,195.0,BT147HZ,54.619665,-5.968111,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,155,23,158,139.64240043768942,0-4,187,4-8 (3.1%),"Holy Cross Church, Belfast: weekly",5,0.0256410256410256,0-12 (2.6%),130.82856738048002,32.0,Zero,3.1%,https://www.whatdotheyknow.com/r/c72d07ef-7a7c-4bec-b390-443e59786d6c
103-0868,"St Anne's PS, Belfast",Roman Catholic Maintained,882.0,BT100NE,54.553711,-5.99478,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,163,29,153,296.98484809835,0-4,804,74-78 (8.6%),Diocesan / Catechetical advisors: <1/month<br>Other Christian Charities: <1/month<br>St Anne's Parish Church: <1/month,50,0.0566893424036281,49-52 (5.7%),142.29184161737365,7.0,5 or fewer,8.6%,https://www.whatdotheyknow.com/r/f2af5b4d-c241-4a1a-a7b8-3d1fb03428d5
103-6041,Mercy Primary School,Roman Catholic Maintained,233.0,BT147GL,54.616832,-5.970079,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,109,0,168,152.64337522473747,0,218,15 (6.4%),Holy Cross Church: <1/month,9,0.03862660944206,9 (3.9%),83.61591803435493,2.0,5 or fewer,6.4%,https://www.whatdotheyknow.com/r/5b0f070a-58d1-4623-aeb1-de4a84729b7c
103-6042,St Vincent de Paul Primary School,Roman Catholic Maintained,289.0,BT148DP,54.626198,-5.98375,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,120,1,168,170.0,5,261,23 (8.0%),"Parish Priest, St Vincent De Paul Parish: <1/month",20,0.0692041522491349,16-25 (6.9%),93.45602151621756,2.0,6,8.0%,https://www.whatdotheyknow.com/r/c6aa9c8d-2634-4e73-9759-ea764ec9cd2a
103-6048,St Mary's Star of the Sea Primary School,Roman Catholic Maintained,134.0,BT154HL,54.64153,-5.92493,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,123,2,168,115.75836902790226,0-4,120,10-14 (9.0%),Love for Life: <1/month<br>Parish Priest: <1/month,9,0.0671641791044776,4-14 (6.7%),94.73977212840724,5.0,7,9.0%,https://www.whatdotheyknow.com/r/8512ac2d-2af6-4aa5-ade3-f6d05c9c90b1
103-6075,St Bride's Primary School,Roman Catholic Maintained,855.0,BT96FP,54.578167,-5.943836,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,218,90,104,292.4038303442689,29,567,259 (30.3%),"St Brigid's RC Parish, Belfast: <1/month",228,0.2666666666666666,228 (26.7%),224.96324439921148,2.0,20,30.3%,https://www.whatdotheyknow.com/r/1ba477c2-6f3e-4699-818c-57dc3675751b
103-6132,St Therese of Lisieux Primary School,Roman Catholic Maintained,420.0,BT155GF,54.630367,-5.938957,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,129,4,167,204.93901531919195,0-4,385,31-35 (7.9%),Holy Family Parish: <1/month,25,0.0595238095238095,24-27 (6.0%),103.93691004272944,2.0,5 or fewer,7.9%,https://www.whatdotheyknow.com/r/12e0376d-187b-41b7-a92d-063ef87393c7
103-6140,"St Michael's PS, Belfast",Roman Catholic Maintained,416.0,BT60BW,54.579297,-5.91224,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,147,16,161,203.9607805437114,0-4,365,47-51 (11.8%),Good Shepherd Church – Holy Rosary Parish: <1/month<br>St Bernadette's Church – Holy Rosary Parish: <1/month,46,0.110576923076923,42-51 (11.1%),122.11586906355132,5.0,Zero,11.8%,https://www.whatdotheyknow.com/r/d5a64c98-ba31-4d2d-8fc2-2fa5f7b0023c
103-6246,"St Joseph's PS, Belfast BT5 6EH ",Roman Catholic Maintained,385.0,BT56EH,54.594685,-5.870834,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,157,24,157,196.21416870348585,6,309,70 (18.2%),"St Colmcille's, Upper Newtownards Road, Belfast: <1/month",58,0.1506493506493506,58 (15.1%),133.8973852734835,2.0,5 or fewer,18.2%,https://www.whatdotheyknow.com/r/36f5894a-fd7e-4f46-b435-98a9c4851dd9
103-6388,"St Mary's Primary School, Divis Street",Roman Catholic Maintained,135.0,BT124AL,54.599591,-5.938794,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,149,17,161,116.1895003862225,26,45,64 (47.4%),No External Visitors,56,0.4148148148148148,55-58 (41.5%),126.0,0.0,Zero,47.4%,https://www.whatdotheyknow.com/r/992fce9c-0c03-4db3-ac83-be7778ae2927
103-6466,"St Malachy's PS, Belfast",Roman Catholic Maintained,392.0,BT72BJ,54.593294,-5.923624,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,220,94,102,197.9898987322333,0-4,186-190,202 (51.5%),The Parish Priest of St. Malachy's Ps: 1-3/month,192,0.4897959183673469,192 (49.0%),209.7598397863105,11.0,8,51.5%,https://www.whatdotheyknow.com/r/9f9c62f0-e0ae-4c1c-b1e4-74fe6d7a955d
103-6471,"Sacred Heart PS, Belfast",Roman Catholic Maintained,158.0,BT146HH,54.616187,-5.949969,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,104,0,167,125.69805089976536,0-4,145,9-13 (7.0%),"Sacred Heart Church, Belfast: <1/month",8,0.050632911392405,0-16 (5.1%),77.94441225697386,2.0,5 or fewer,7.0%,https://www.whatdotheyknow.com/r/cd764db9-449a-4ae3-94a3-579477fe9ed7
