ref,name,postcode,management,pupils_total_2022_23,religion_protestant_2022_23,religion_catholic_2022_23,religion_other_2022_23,religion_protestant_est_low_2022_23,religion_catholic_est_low_2022_23,religion_other_est_low_2022_23,religion_protestant_est_mid_2022_23,religion_catholic_est_mid_2022_23,religion_other_est_mid_2022_23,religion_protestant_est_high_2022_23,religion_catholic_est_high_2022_23,religion_other_est_high_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other
303-6154,St Patrick's Primary School ,BT449JR,Roman Catholic Maintained,154,0,#,*,0,150,0,0,152,2,0,154,4,BT449JR,55.064334,-6.297939,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,124.09673645990857,0,150-154,0-4
303-6243,St Joseph's Primary School ,BT449EF,Roman Catholic Maintained,321,0,308,13,0,308,13,0,308,13,0,308,13,BT449EF,55.004747,-6.413046,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,179.16472867168918,0,308,13
303-6268,St Ciaran's Primary School ,BT440NJ,Roman Catholic Maintained,44,0,#,*,0,40,0,0,42,2,0,44,4,BT440NJ,55.117373,-6.05599,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,66.33249580710799,0,40-44,0-4
303-6292,St Patrick's Primary School (Glen),BT465JN,Roman Catholic Maintained,179,0,#,*,0,175,0,0,177,2,0,179,4,BT465JN,54.846555,-6.710591,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,133.79088160259653,0,175-179,0-4
303-6559,St Patrick's & St Brigid's Primary School ,BT546AN,Roman Catholic Maintained,445,*,420,#,0,420,21,2,420,23,4,420,25,BT546AN,55.204587,-6.252782,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,210.95023109728987,0-4,420,21-25
303-6562,Holy Family Primary School ,BT456AX,Roman Catholic Maintained,560,0,531,29,0,531,29,0,531,29,0,531,29,BT456AX,54.757521,-6.602947,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,236.64319132398464,0,531,29
303-6563,St Nicholas' Primary School ,BT388AU,Roman Catholic Maintained,149,16,103,30,16,103,30,16,103,30,16,103,30,BT388AU,54.714758,-5.814617,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,122.06555615733703,16,103,30
303-6575,St Macnissi's Primary School ,BT401RF,Roman Catholic Maintained,174,0,168,6,0,168,6,0,168,6,0,168,6,BT401RF,54.851954,-5.815331,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,131.90905958272918,0,168,6
303-6666,St Colmcille's Primary School ,BT435DG,Roman Catholic Maintained,435,*,346,#,0,346,85,2,346,87,4,346,89,BT435DG,54.867333,-6.285036,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,208.56653614614208,0-4,346,85-89
303-6679,St Brigid's Primary School,BT437DZ,Roman Catholic Maintained,389,0,348,41,0,348,41,0,348,41,0,348,41,BT437DZ,54.874855,-6.26493,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,197.2308292331602,0,348,41
303-6683,St Paul's Primary School,BT421LF,Roman Catholic Maintained,27,0,#,*,0,23,0,0,25,2,0,27,4,BT421LF,54.847007,-6.374844,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,51.96152422706632,0,23-27,0-4
303-6704,Mary Queen of Peace Primary School,BT436QH,Roman Catholic Maintained,229,0,224,5,0,224,5,0,224,5,0,224,5,BT436QH,54.968881,-6.22938,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,151.32745950421557,0,224,5
304-6653,Gaelscoil an Chaistil,BT546QQ,Other Maintained,113,0,15,98,0,15,98,0,15,98,0,15,98,BT546QQ,55.197932,-6.257298,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,106.3014581273465,0,15,98
304-6678,Gaelscoil na Speiríní,BT457BB,Other Maintained,79,0,#,*,0,75,0,0,77,2,0,79,4,BT457BB,54.783686,-6.806025,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,88.88194417315589,0,75-79,0-4
304-6684,Gaelscoil Ghleann Darach ,BT294LA,Other Maintained,93,0,83,10,0,83,10,0,83,10,0,83,10,BT294LA,54.611733,-6.221597,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,96.43650760992955,0,83,10
304-6685,Gaelscoil Éanna,BT367AU,Other Maintained,221,*,199,#,0,199,18,2,199,20,4,199,22,BT367AU,54.666554,-5.968451,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,148.66068747318505,0-4,199,18-22
304-6691,Gaelscoil an tSeanchaí,BT456BW,Other Maintained,121,0,109,12,0,109,12,0,109,12,0,109,12,BT456BW,54.752971,-6.60562,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,44,160,44,110,0,109,12
305-0519,Carnlough Controlled Integrated Primary School ,BT440EU,Controlled Integrated,31,6,19,6,6,19,6,6,19,6,6,19,6,BT440EU,54.992713,-5.989925,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,55.67764362830022,6,19,6
305-0791,Glengormley Integrated Primary School ,BT366HJ,Controlled Integrated,279,28,103,148,28,103,148,28,103,148,28,103,148,BT366HJ,54.670971,-5.954371,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,167.03293088490068,28,103,148
305-0841,Central Integrated Primary School ,BT388AL,Controlled Integrated,146,96,13,37,96,13,37,96,13,37,96,13,37,BT388AL,54.716722,-5.810895,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,120.83045973594572,96,13,37
305-0859,Crumlin Integrated Primary School,BT294XL,Controlled Integrated,162,36,22,104,36,22,104,36,22,104,36,22,104,BT294XL,54.621432,-6.21461,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,127.27922061357856,36,22,104
305-0866,Ballymoney Model Integrated Primary School,BT536BW,Controlled Integrated,376,233,21,122,233,21,122,233,21,122,233,21,122,BT536BW,55.071794,-6.523146,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,193.9071942966532,233,21,122
305-0899,Seaview Integrated Primary School ,BT440AA,Controlled Integrated,97,29,44,24,29,44,24,29,44,24,29,44,24,BT440AA,54.967977,-5.95215,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,98.48857801796103,29,44,24
305-2071,Carhill Integrated Primary School ,BT515PQ,Controlled Integrated,82,42,16,24,42,16,24,42,16,24,42,16,24,BT515PQ,54.94365,-6.680612,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,90.55385138137417,42,16,24
305-3333,Ballycastle Integrated Primary School ,BT546BJ,Controlled Integrated,195,51,103,41,51,103,41,51,103,41,51,103,41,BT546BJ,55.202617,-6.246365,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,139.64240043768942,51,103,41
305-6231,Six Mile Integrated Primary School,BT412TA,Controlled Integrated,226,56,73,97,56,73,97,56,73,97,56,73,97,BT412TA,54.720976,-6.188956,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,150.33296378372907,56,73,97
305-6248,Round Tower Integrated Primary School ,BT412TH,Controlled Integrated,264,73,77,114,73,77,114,73,77,114,73,77,114,BT412TH,54.732487,-6.221869,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,162.48076809271922,73,77,114
305-6708,Mallusk Integrated Primary School,BT364QE,Controlled Integrated,114,24,32,58,24,32,58,24,32,58,24,32,58,BT364QE,54.678923,-6.003356,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,106.7707825203131,24,32,58
306-6544,Millstrand Integrated Primary School ,BT568EW,Grant Maintained Integrated,411,102,79,230,102,79,230,102,79,230,102,79,230,BT568EW,55.197652,-6.663398,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,202.73134932713293,102,79,230
306-6551,Braidside Integrated Primary School ,BT437EN,Grant Maintained Integrated,321,68,101,152,68,101,152,68,101,152,68,101,152,BT437EN,54.877536,-6.257056,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,179.16472867168918,68,101,152
306-6561,Corran Integrated Primary School ,BT401TP,Grant Maintained Integrated,218,69,72,77,69,72,77,69,72,77,69,72,77,BT401TP,54.871247,-5.822981,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,147.6482306,69,72,77
306-6568,Acorn Integrated Primary School ,BT387JL,Grant Maintained Integrated,226,115,48,63,115,48,63,115,48,63,115,48,63,BT387JL,54.725719,-5.793737,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,150.33296378372907,115,48,63
306-6613,Spires Integrated Primary School ,BT456HH,Grant Maintained Integrated,208,56,94,58,56,94,58,56,94,58,56,94,58,BT456HH,54.741074,-6.621168,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,144.22205101855957,56,94,58
306-6652,Maine Integrated Primary School ,BT413EH,Grant Maintained Integrated,171,22,62,87,22,62,87,22,62,87,22,62,87,BT413EH,54.756122,-6.329665,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)",#1f77b480,31,119,180,130.7669683062202,22,62,87
401-0512,McKinney Primary School  Dundrod,BT294HX,Controlled,166,100,*,#,100,0,62,100,2,64,100,4,66,BT294HX,54.61365,-6.121373,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,100,0-4,62-66
401-0720,Ballycarrickmaddy Primary School ,BT282NX,Controlled,191,127,6,58,127,6,58,127,6,58,127,6,58,BT282NX,54.552823,-6.149273,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.20274961085255,127,6,58
401-0743,Largymore Primary School ,BT275BT,Controlled,193,63,0,130,63,0,130,63,0,130,63,0,130,BT275BT,54.509093,-6.026521,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,138.92443989449805,63,0,130
401-0762,Brownlee Primary School ,BT274AA,Controlled,200,105,11,84,105,11,84,105,11,84,105,11,84,BT274AA,54.513033,-6.042298,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,141.4213562373095,105,11,84
401-0788,Dunmurry Primary School ,BT179AN,Controlled,207,76,12,119,76,12,119,76,12,119,76,12,119,BT179AN,54.54738,-6.004209,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,143.87494569938158,76,12,119
401-0807,Lisburn Central Primary School ,BT281JJ,Controlled,212,79,25,108,79,25,108,79,25,108,79,25,108,BT281JJ,54.50666,-6.047637,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.60219778561037,79,25,108
401-0882,Seymour Hill Primary School ,BT179QX,Controlled,251,133,6,112,133,6,112,133,6,112,133,6,112,BT179QX,54.542758,-6.011065,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,158.42979517754858,133,6,112
401-0885,Tonagh Primary School ,BT281DQ,Controlled,229,175,23,31,175,23,31,175,23,31,175,23,31,BT281DQ,54.510269,-6.055278,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,151.32745950421557,175,23,31
401-1265,Ballyvester Primary School ,BT210NF,Controlled,109,42,6,61,42,6,61,42,6,61,42,6,61,BT210NF,54.624764,-5.561653,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,104.40306508910551,42,6,61
401-1300,Grey Abbey Primary School ,BT222QA,Controlled,78,41,0,37,41,0,37,41,0,37,41,0,37,BT222QA,54.534315,-5.560855,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,88.31760866327848,41,0,37
401-1310,Carrickmannon Primary School ,BT236JJ,Controlled,87,64,*,#,64,0,19,64,2,21,64,4,23,BT236JJ,54.481438,-5.779138,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.27379053088816,64,0-4,19-23
401-1345,Newtownards Model Primary School ,BT234NW,Controlled,386,215,12,159,215,12,159,215,12,159,215,12,159,BT234NW,54.590302,-5.709097,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,196.468827,215,12,159
401-1373,Kirkistown Primary School ,BT221JA,Controlled,57,23,0,34,23,0,34,23,0,34,23,0,34,BT221JA,54.438402,-5.470164,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,75.49834435,23,0,34
401-1462,Castle Gardens Primary School ,BT238SH,Controlled,343,175,11,157,175,11,157,175,11,157,175,11,157,BT238SH,54.58927,-5.675735,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,185.20259177452135,175,11,157
401-1488,Victoria Primary School (Ballyhalbert),BT221DQ,Controlled,119,66,0,53,66,0,53,66,0,53,66,0,53,BT221DQ,54.491214,-5.466748,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,109.08712114635713,66,0,53
401-1507,Portavogie Primary School ,BT221EE,Controlled,231,175,*,#,175,0,52,175,2,54,175,4,56,BT221EE,54.456661,-5.446211,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,151.98684153570665,175,0-4,52-56
401-1566,Ballywalter Primary School ,BT222NT,Controlled,161,#,*,90,67,0,90,69,2,90,71,4,90,BT222NT,54.545489,-5.489073,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,126.8857754044952,67-71,0-4,90
401-1567,Ballynahinch Primary School ,BT248BB,Controlled,235,151,9,75,151,9,75,151,9,75,151,9,75,BT248BB,54.399625,-5.905841,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,153.29709716755892,151,9,75
401-1578,Derryboy Primary School ,BT309LY,Controlled,63,53,0,10,53,0,10,53,0,10,53,0,10,BT309LY,54.438527,-5.731501,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,79.37253933193772,53,0,10
401-1584,Carr Primary School ,BT276TB,Controlled,79,#,*,47,28,0,47,30,2,47,32,4,47,BT276TB,54.499381,-5.933577,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,88.88194417315589,28-32,0-4,47
401-1587,Dundonald Primary School ,BT162LP,Controlled,852,419,48,385,419,48,385,419,48,385,419,48,385,BT162LP,54.593022,-5.804927,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,291.89039038652845,419,48,385
401-1588,Comber Primary School ,BT235BX,Controlled,355,221,*,#,221,0,130,221,2,132,221,4,134,BT235BX,54.553579,-5.741611,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,188.41443681416774,221,0-4,130-134
401-1606,Gilnahirk Primary School ,BT57QQ,Controlled,411,257,14,140,257,14,140,257,14,140,257,14,140,BT57QQ,54.58328,-5.839252,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,202.73134932713293,257,14,140
401-1608,Anahilt Primary School ,BT266BP,Controlled,139,#,*,81,54,0,81,56,2,81,58,4,81,BT266BP,54.436158,-5.995735,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,117.89826122551595,54-58,0-4,81
401-1619,Dromara Primary School ,BT252BL,Controlled,177,93,13,71,93,13,71,93,13,71,93,13,71,BT252BL,54.381024,-6.017972,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.04134695650072,93,13,71
401-1631,Holywood Primary School ,BT189DL,Controlled,441,209,17,215,209,17,215,209,17,215,209,17,215,BT189DL,54.639408,-5.832077,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,210,209,17,215
401-1632,Cregagh Primary School ,BT60FL,Controlled,159,96,17,46,96,17,46,96,17,46,96,17,46,BT60FL,54.575815,-5.902118,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,126.09520212918491,96,17,46
401-1645,Crawfordsburn Primary School ,BT191JA,Controlled,207,#,*,115,88,0,115,90,2,115,92,4,115,BT191JA,54.657216,-5.725294,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,143.87494569938158,88-92,0-4,115
401-1646,Victoria Primary School ,BT237DD,Controlled,457,267,13,177,267,13,177,267,13,177,267,13,177,BT237DD,54.594511,-5.688976,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,213.7755832643195,267,13,177
401-1650,Ballyholme Primary School ,BT205RG,Controlled,628,238,43,347,238,43,347,238,43,347,238,43,347,BT205RG,54.663737,-5.638807,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,250.59928172283335,238,43,347
401-1654,Donaghadee Primary School ,BT210BD,Controlled,439,160,14,265,160,14,265,160,14,265,160,14,265,BT210BD,54.63977,-5.538089,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,209.52326839756964,160,14,265
401-1657,Lisnasharragh Primary School ,BT69LS,Controlled,380,230,17,133,230,17,133,230,17,133,230,17,133,BT69LS,54.573232,-5.886924,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,194.93588689617926,230,17,133
401-1670,Clandeboye Primary School ,BT203JW,Controlled,300,148,6,146,148,6,146,148,6,146,148,6,146,BT203JW,54.651943,-5.68223,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,173.20508075688775,148,6,146
401-1674,Knockbreda Primary School ,BT60JJ,Controlled,129,74,13,42,74,13,42,74,13,42,74,13,42,BT60JJ,54.567645,-5.903512,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,113.57816691600547,74,13,42
401-1681,Millisle Primary School ,BT222DD,Controlled,221,122,*,#,122,0,95,122,2,97,122,4,99,BT222DD,54.606886,-5.530788,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,148.66068747318505,122,0-4,95-99
401-1683,Braniel Primary School ,BT57JU,Controlled,436,#,*,301,131,0,301,133,2,301,135,4,301,BT57JU,54.578406,-5.861274,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,208.80613017821102,131-135,0-4,301
401-1698,Newcastle Primary School ,BT330AS,Controlled,221,77,47,97,77,47,97,77,47,97,77,47,97,BT330AS,54.215296,-5.890331,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,148.66068747318505,77,47,97
401-1699,Moneyrea Primary School ,BT236BB,Controlled,256,127,*,#,127,0,125,127,2,127,127,4,129,BT236BB,54.53365,-5.827986,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,160,127,0-4,125-129
401-3013,Belvoir Park Primary School ,BT87DL,Controlled,261,114,26,121,114,26,121,114,26,121,114,26,121,BT87DL,54.551432,-5.930961,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,161.55494421403512,114,26,121
401-3023,Bloomfield Primary School ,BT197PN,Controlled,445,132,8,305,132,8,305,132,8,305,132,8,305,BT197PN,54.642995,-5.657145,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,210.95023109728987,132,8,305
401-3024,Cairnshill Primary School ,BT86RT,Controlled,546,241,45,260,241,45,260,241,45,260,241,45,260,BT86RT,54.552642,-5.902086,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,233.66642891095847,241,45,260
401-3043,Leadhill Primary School,BT69RD,Controlled,159,68,10,81,68,10,81,68,10,81,68,10,81,BT69RD,54.57455,-5.873431,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,126.09520212918491,68,10,81
401-3044,Carryduff Primary School ,BT88EE,Controlled,177,99,13,65,99,13,65,99,13,65,99,13,65,BT88EE,54.514043,-5.883604,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.04134695650072,99,13,65
401-3045,Grange Park Primary School ,BT203QG,Controlled,394,173,17,204,173,17,204,173,17,204,173,17,204,BT203QG,54.658678,-5.687224,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,198.49433241279206,173,17,204
401-3046,Alexander Dickson Primary School ,BT235TN,Controlled,88,73,*,#,73,0,11,73,2,13,73,4,15,BT235TN,54.502587,-5.789307,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,93.8083152,73,0-4,Nov-15
401-3305,Harmony Hill Primary School ,BT274ES,Controlled,642,284,43,315,284,43,315,284,43,315,284,43,315,BT274ES,54.524155,-6.034413,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,253.37718918639854,284,43,315
401-3334,Knockmore Primary School ,BT281SA,Controlled,244,85,39,120,85,39,120,85,39,120,85,39,120,BT281SA,54.508933,-6.076217,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,156.20499351813308,85,39,120
401-6002,Kilcooley Primary School ,BT191QS,Controlled,212,93,0,119,93,0,119,93,0,119,93,0,119,BT191QS,54.64734,-5.698591,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.60219778561037,93,0,119
401-6004,Londonderry Primary School ,BT234EY,Controlled,404,200,6,198,200,6,198,200,6,198,200,6,198,BT234EY,54.601296,-5.701283,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,200.9975124224178,200,6,198
401-6020,Carrowdore Primary School ,BT222JJ,Controlled,166,#,*,83,79,0,83,81,2,83,83,4,83,BT222JJ,54.577901,-5.553502,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,128.84098726725125,79-83,0-4,83
401-6067,Rathmore Primary School ,BT191DJ,Controlled,583,302,17,264,302,17,264,302,17,264,302,17,264,BT191DJ,54.65743,-5.70329,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,241.45392935299273,302,17,264
401-6083,West Winds Primary School and Nursery Unit,BT234RQ,Controlled,179,105,*,#,105,0,70,105,2,72,105,4,74,BT234RQ,54.580548,-5.701756,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,133.79088160259653,105,0-4,70-74
401-6104,Moira Primary School ,BT670LJ,Controlled,416,213,46,157,213,46,157,213,46,157,213,46,157,BT670LJ,54.48574,-6.241099,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,203.9607805437114,213,46,157
401-6111,Towerview Primary School ,BT196AZ,Controlled,456,232,8,216,232,8,216,232,8,216,232,8,216,BT196AZ,54.662489,-5.621875,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,213.5415650406262,232,8,216
401-6123,Spa Primary School ,BT248QB,Controlled,200,127,5,68,127,5,68,127,5,68,127,5,68,BT248QB,54.377049,-5.892661,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,141.4213562373095,127,5,68
401-6126,Andrews Memorial Primary School ,BT235PG,Controlled,376,224,5,147,224,5,147,224,5,147,224,5,147,BT235PG,54.54411,-5.766368,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,193.9071942966532,224,5,147
401-6144,Old Warren Primary School ,BT281QP,Controlled,155,86,15,54,86,15,54,86,15,54,86,15,54,BT281QP,54.502595,-6.059131,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,124.49899597988733,86,15,54
401-6145,Killowen Primary School ,BT282UH,Controlled,435,186,23,226,186,23,226,186,23,226,186,23,226,BT282UH,54.520005,-6.06629,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,208.56653614614208,186,23,226
401-6192,Kilmaine Primary School ,BT196EF,Controlled,662,208,15,439,208,15,439,208,15,439,208,15,439,BT196EF,54.654145,-5.631661,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,257.29360660537213,208,15,439
401-6201,Academy Primary School ,BT247JA,Controlled,455,223,44,188,223,44,188,223,44,188,223,44,188,BT247JA,54.454743,-5.831135,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,213.3072900770154,223,44,188
401-6202,Ballinderry Primary School ,BT282BF,Controlled,277,163,23,91,163,23,91,163,23,91,163,23,91,BT282BF,54.548012,-6.255343,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,166.43316977093238,163,23,91
401-6235,Downpatrick Primary School ,BT306AF,Controlled,213,56,91,66,56,91,66,56,91,66,56,91,66,BT306AF,54.329499,-5.718368,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,145.94519519326423,56,91,66
401-6396,Killinchy Primary School ,BT236PN,Controlled,331,208,9,114,208,9,114,208,9,114,208,9,114,BT236PN,54.471712,-5.675311,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,181.93405398660252,208,9,114
401-6399,Abbey Primary School ,BT238RQ,Controlled,606,316,10,280,316,10,280,316,10,280,316,10,280,BT238RQ,54.594647,-5.666144,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,246.17067250182342,316,10,280
401-6401,Pond Park Primary School ,BT283BF,Controlled,625,333,70,222,333,70,222,333,70,222,333,70,222,BT283BF,54.525469,-6.067453,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,250,333,70,222
401-6417,Maghaberry Primary School ,BT670JE,Controlled,309,172,7,130,172,7,130,172,7,130,172,7,130,BT670JE,54.50412,-6.192249,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,175.78395831246948,172,7,130
401-6430,Ballymagee Primary School ,BT196ZG,Controlled,417,202,27,188,202,27,188,202,27,188,202,27,188,BT196ZG,54.64445,-5.637199,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,204.20577856662138,202,27,188
401-6441,Ballymacash Primary School ,BT282EE,Controlled,458,220,21,217,220,21,217,220,21,217,220,21,217,BT282EE,54.519768,-6.086365,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,214.00934559032694,220,21,217
401-6503,Brooklands Primary School ,BT162PA,Controlled,576,528,6,42,528,6,42,528,6,42,528,6,42,BT162PA,54.593596,-5.793972,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,240,528,6,42
401-6615,Riverdale Primary School ,BT275LX,Controlled,204,121,9,74,121,9,74,121,9,74,121,9,74,BT275LX,54.477051,-6.011664,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,255,127,14,142.82856857085702,121,9,74
